               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10928,            0.053696,            0.039105,            0.018561,             0.14313,           0.0088892,           0.0016807,            0.097296,            0.047183,            0.036707,             0.00025,             0.00025,             0.09775
                   1,            0.088071,             0.06114,            0.031341,             0.15555,             0.30669,             0.15022,            0.048034,            0.072828,            0.049703,            0.027091,          0.00050955,          0.00050955,             0.09541
                   2,            0.070138,            0.057593,            0.025117,             0.73776,              0.2918,             0.29603,             0.11958,            0.059573,            0.045675,             0.02288,          0.00076727,          0.00076727,            0.093067
                   3,            0.059041,            0.048909,             0.02282,             0.77076,             0.38283,             0.41084,              0.1929,            0.050959,            0.040913,            0.019986,           0.0010218,           0.0010218,            0.090722
                   4,            0.053127,            0.044461,            0.019967,             0.75481,             0.42124,              0.4102,             0.17403,            0.050997,            0.035735,            0.016808,           0.0012718,           0.0012718,            0.088372
                   5,            0.051325,            0.040539,             0.01549,             0.70734,              0.4834,             0.46602,             0.22378,            0.046548,            0.032391,            0.013547,           0.0015159,           0.0015159,            0.086016
                   6,            0.060467,            0.038672,            0.012929,             0.69547,             0.40473,             0.44016,             0.16268,             0.05874,             0.03071,            0.012139,           0.0017528,           0.0017528,            0.083653
                   7,            0.062149,            0.037255,            0.010897,              0.3999,             0.81297,             0.58826,             0.22396,            0.052742,            0.030133,           0.0098152,           0.0019813,           0.0019813,            0.081281
                   8,            0.059762,            0.038142,           0.0093981,              0.4679,             0.74018,             0.62138,             0.20564,             0.05941,             0.02894,           0.0083278,           0.0022003,           0.0022003,              0.0789
                   9,            0.057113,            0.034736,           0.0083642,             0.47693,             0.75505,              0.6832,              0.2807,            0.051085,            0.028748,           0.0076107,           0.0024086,           0.0024086,            0.076509
                  10,            0.056303,            0.035827,           0.0076202,             0.54927,             0.71763,             0.61462,              0.2702,            0.046433,               0.029,           0.0068146,           0.0026051,           0.0026051,            0.074105
                  11,            0.054097,             0.03551,           0.0065174,             0.40218,             0.68125,             0.53217,             0.24329,            0.050211,            0.027303,           0.0062185,           0.0027888,           0.0027888,            0.071689
                  12,            0.051987,            0.035362,           0.0061294,             0.51976,             0.67257,             0.62988,             0.23756,            0.046883,            0.027342,           0.0053956,            0.002959,            0.002959,            0.069259
                  13,            0.049282,            0.034909,           0.0060063,             0.65991,             0.72696,             0.72736,             0.27702,            0.042901,            0.027001,           0.0050036,           0.0031147,           0.0031147,            0.066815
                  14,            0.048009,            0.034009,           0.0053772,             0.60058,             0.72911,             0.68515,             0.27731,            0.042103,            0.026862,           0.0042973,           0.0032553,           0.0032553,            0.064355
                  15,            0.046143,             0.03365,            0.004927,             0.77518,             0.70309,             0.78471,             0.41537,            0.037247,            0.026257,           0.0037715,           0.0033802,           0.0033802,             0.06188
                  16,            0.044522,            0.033657,           0.0044694,             0.68772,             0.81071,             0.77608,             0.37816,            0.037547,            0.025893,           0.0033743,           0.0034888,           0.0034888,            0.059389
                  17,            0.043278,            0.032032,           0.0043503,             0.74118,               0.788,             0.79512,             0.40921,            0.036443,            0.025853,           0.0033914,           0.0035809,           0.0035809,            0.056881
                  18,             0.04142,            0.032596,           0.0041153,             0.67351,             0.73553,             0.74934,             0.39504,            0.034063,            0.025509,           0.0030904,           0.0036561,           0.0036561,            0.054356
                  19,             0.04684,             0.03203,           0.0040866,             0.66768,             0.67412,             0.72434,             0.30953,            0.043292,            0.025143,           0.0032273,           0.0037143,           0.0037143,            0.051814
                  20,            0.045091,            0.030286,            0.004326,             0.60529,             0.74865,             0.71365,             0.28338,            0.042521,            0.026111,           0.0030463,           0.0037554,           0.0037554,            0.049255
                  21,            0.045655,            0.032386,           0.0038927,             0.81334,             0.65149,             0.81279,             0.45232,             0.03637,            0.025837,           0.0032145,           0.0037795,           0.0037795,             0.04668
                  22,            0.044502,            0.031347,           0.0039393,             0.68292,             0.66841,             0.78196,             0.42872,            0.038837,             0.02465,           0.0030574,           0.0037869,           0.0037869,            0.044087
                  23,            0.041948,            0.031766,           0.0038456,             0.92794,             0.74167,             0.90598,             0.55541,            0.030987,            0.026248,           0.0031698,           0.0037779,           0.0037779,            0.041478
                  24,            0.040107,            0.031155,           0.0035647,             0.73461,             0.85496,             0.82415,             0.46497,            0.031423,            0.024068,            0.002639,           0.0037529,           0.0037529,            0.038853
                  25,            0.037555,            0.031069,           0.0033569,             0.75587,             0.76646,             0.83293,               0.413,            0.036319,            0.023692,            0.002404,           0.0037125,           0.0037125,            0.036212
                  26,            0.038795,            0.029992,           0.0031623,             0.85452,             0.86772,             0.93733,             0.57265,                0.03,            0.023871,           0.0024871,           0.0036574,           0.0036574,            0.033557
                  27,             0.03948,            0.030696,           0.0034553,             0.74362,             0.78936,             0.82101,             0.43062,            0.035162,            0.024012,           0.0023151,           0.0035885,           0.0035885,            0.030888
                  28,            0.037582,            0.030071,           0.0032239,             0.87109,             0.81745,              0.9072,             0.56947,            0.030676,            0.023852,           0.0023973,           0.0035066,           0.0035066,            0.028207
                  29,            0.033046,             0.02798,           0.0029594,             0.90406,             0.84913,             0.93265,               0.632,            0.027884,            0.022963,           0.0020568,           0.0034127,           0.0034127,            0.025513
                  30,            0.032487,            0.027824,           0.0028201,             0.90658,               0.863,             0.94482,             0.58766,            0.028344,            0.023021,           0.0020185,           0.0033081,           0.0033081,            0.022808
                  31,            0.033594,            0.028294,           0.0026027,             0.84441,             0.91524,             0.92998,             0.60526,            0.029365,            0.023184,           0.0020276,           0.0031939,           0.0031939,            0.020094
                  32,            0.034333,            0.027655,           0.0024462,             0.81011,             0.91192,             0.91609,             0.56738,            0.031049,            0.023084,           0.0021476,           0.0030715,           0.0030715,            0.017371
                  33,            0.035398,            0.026472,           0.0027153,             0.88552,             0.89736,             0.94689,             0.54352,            0.029466,            0.023232,           0.0021924,           0.0029423,           0.0029423,            0.014642
                  34,            0.031472,            0.029196,           0.0025508,              0.8023,             0.89372,             0.92075,             0.56749,            0.028813,            0.023161,           0.0020642,           0.0028077,           0.0028077,            0.011908
                  35,            0.032704,            0.027133,           0.0025627,             0.89717,             0.89897,             0.95046,             0.60517,            0.029398,             0.02274,            0.002008,           0.0026694,           0.0026694,           0.0091694
                  36,            0.030914,            0.027618,           0.0023295,             0.88203,             0.92879,             0.94791,             0.63351,            0.026251,            0.022499,           0.0018622,            0.002529,            0.002529,            0.006429
                  37,            0.030177,            0.027053,           0.0022997,             0.90228,             0.92067,             0.95042,             0.62692,            0.026511,            0.022739,           0.0017739,           0.0023881,           0.0023881,           0.0036881
                  38,            0.028767,            0.026487,           0.0022756,             0.88546,             0.95105,             0.95864,             0.64242,            0.027144,            0.022725,           0.0015952,           0.0022196,           0.0022196,           0.0022196
                  39,             0.02939,            0.025888,            0.002161,              0.8825,             0.94923,              0.9527,              0.6723,            0.023683,             0.02266,           0.0017248,           0.0022196,           0.0022196,           0.0022196
                  40,            0.026807,            0.026499,           0.0021852,             0.89245,             0.94173,              0.9497,             0.65477,            0.025338,            0.022667,            0.001533,           0.0020327,           0.0020327,           0.0020327
                  41,            0.026326,            0.025332,            0.001916,             0.85936,             0.95681,             0.94736,             0.68346,            0.023906,            0.022566,           0.0014285,           0.0018594,           0.0018594,           0.0018594
                  42,            0.024045,            0.024863,           0.0018695,             0.87592,             0.93374,             0.94553,             0.66757,            0.023774,            0.022907,           0.0013925,           0.0017005,           0.0017005,           0.0017005
                  43,            0.024808,            0.025625,           0.0019255,             0.88457,             0.91768,             0.94844,              0.6786,            0.022817,            0.022177,           0.0013042,           0.0015566,           0.0015566,           0.0015566
                  44,            0.022695,            0.024763,            0.001627,             0.84885,              0.9617,             0.94746,             0.69815,            0.022431,            0.022461,           0.0012204,           0.0014283,           0.0014283,           0.0014283
                  45,            0.022204,            0.024152,           0.0014762,             0.87791,              0.9562,             0.95247,             0.70451,            0.021727,            0.022286,           0.0011371,            0.001316,            0.001316,            0.001316
                  46,            0.022331,            0.023971,           0.0014028,             0.88088,              0.9461,             0.95287,             0.68723,            0.021543,            0.022253,           0.0010127,           0.0012202,           0.0012202,           0.0012202
                  47,            0.021843,            0.023313,           0.0015769,             0.90222,             0.91556,             0.95139,             0.70786,             0.02136,            0.021977,           0.0009769,           0.0011414,           0.0011414,           0.0011414
                  48,            0.021395,            0.024142,           0.0014633,             0.90075,             0.93572,             0.95015,             0.71409,            0.021174,            0.021781,          0.00094733,           0.0010797,           0.0010797,           0.0010797
                  49,            0.021231,            0.023528,           0.0015399,             0.88324,             0.94967,             0.95488,             0.69915,            0.021538,            0.021727,          0.00096935,           0.0010355,           0.0010355,           0.0010355
